<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220915,120000,143.5630000,143.6790000,143.3000000,143.4250000,161091
20220915,130000,143.4300000,143.4980000,143.1900000,143.3030000,146422
20220915,140000,143.3000000,143.6160000,143.2300000,143.4780000,149463
20220915,150000,143.4790000,143.5350000,143.2600000,143.5050000,138170
20220915,160000,143.5090000,143.7240000,143.1200000,143.3200000,248367
20220915,170000,143.3170000,143.5670000,143.2100000,143.2590000,242152
20220915,180000,143.2590000,143.5280000,143.1300000,143.4590000,220318
20220915,190000,143.4690000,143.5960000,143.3200000,143.5710000,166776
20220915,200000,143.5720000,143.6060000,143.4200000,143.4970000,121372
20220915,210000,143.4980000,143.5000000,143.3000000,143.3910000,91905
20220915,220000,143.3910000,143.4870000,143.3500000,143.4860000,89079
20220915,230000,143.4870000,143.5560000,143.4000000,143.4560000,74067
20220916,000000,143.4550000,143.5260000,143.4000000,143.4790000,39675
20220916,010000,143.5090000,143.5250000,143.4260000,143.4630000,13889
20220916,020000,143.4720000,143.5300000,143.3200000,143.3510000,69837
20220916,030000,143.3570000,143.4110000,143.2700000,143.3330000,53316
20220916,040000,143.3290000,143.3980000,142.8100000,143.0020000,134324
20220916,050000,143.0020000,143.3080000,142.8300000,143.2200000,109290
20220916,060000,143.2270000,143.4960000,143.1500000,143.4360000,88193
20220916,070000,143.4450000,143.4740000,143.3100000,143.3580000,84539
20220916,080000,143.3640000,143.3940000,143.1900000,143.2800000,68813
20220916,090000,143.2750000,143.6270000,143.2400000,143.5340000,88424
20220916,100000,143.5400000,143.6930000,143.4200000,143.5840000,140880
20220916,110000,143.5740000,143.6060000,143.2000000,143.4530000,171842
20220916,120000,143.4430000,143.4950000,143.2300000,143.3580000,135156
20220916,130000,143.3560000,143.3840000,143.1200000,143.3150000,113648
20220916,140000,143.3080000,143.3570000,143.1200000,143.2060000,101360
20220916,150000,143.2030000,143.2660000,142.9200000,143.0780000,104604
20220916,160000,143.0680000,143.3180000,143.0300000,143.2960000,144551
20220916,170000,143.2960000,143.3580000,143.0500000,143.1430000,177250
20220916,180000,143.1250000,143.1590000,142.8400000,142.9500000,220736
20220916,190000,142.9600000,143.0940000,142.8400000,143.0380000,147740
20220916,200000,143.0360000,143.0630000,142.8700000,143.0210000,80520
20220916,210000,143.0290000,143.0540000,142.9100000,143.0270000,64574
20220916,220000,143.0370000,143.0410000,142.8500000,142.9510000,66286
20220916,230000,142.9610000,142.9870000,142.8200000,142.9050000,64476
20220917,000000,142.8950000,142.9890000,142.8690000,142.8820000,30894
20220917,010000,142.8730000,142.9100000,142.8730000,142.9060000,3
20220918,230000,142.9170000,142.9210000,142.9120000,142.9170000,31
20220919,000000,142.9170000,142.9170000,142.8860000,142.8880000,65
20220919,010000,142.9240000,142.9700000,142.8710000,142.9230000,2595
20220919,020000,142.9170000,143.1250000,142.7800000,142.8460000,52604
20220919,030000,142.8460000,142.9570000,142.6100000,142.7590000,105696
20220919,040000,142.7550000,142.9940000,142.6600000,142.9330000,121205
20220919,050000,142.9290000,143.1370000,142.8800000,143.1310000,106848
20220919,060000,143.1300000,143.2140000,143.0400000,143.0660000,103588
20220919,070000,143.0660000,143.2000000,143.0300000,143.1660000,84398
20220919,080000,143.1660000,143.2330000,143.1000000,143.2170000,77697
20220919,090000,143.2250000,143.3000000,143.2000000,143.2440000,98340
20220919,100000,143.2410000,143.3680000,143.1900000,143.2920000,121348
20220919,110000,143.2930000,143.5460000,143.2100000,143.5060000,162414
20220919,120000,143.5100000,143.5390000,143.3300000,143.4670000,128754
20220919,130000,143.4700000,143.5010000,143.3900000,143.4940000,122855
20220919,140000,143.4900000,143.5720000,143.3600000,143.4300000,137919
20220919,150000,143.4380000,143.6450000,143.3900000,143.6240000,143840
